"name","order_id"
"Sunday special.",406
"One pizza with mushrooms   And the other pizza with pepperoni and drink coke or Pepsi.",406
"Delete number 2 and 3.",406
"End order.",406
"1 lge extra cheese pizza
1 lge colbert with marinara.",404
"Small 1/2 cheese , 1/2 pepperoni and large mushroom, green pepper, spinach and banana pepper.",402
"Medium Colbert pizza.",405
"Greek salad with extra dressing .",405
"20 oz diet coke.",405
"Small cheese pizza, medium italian American add jalapenos.",400
"Small thin crust pepperoni pizza and 10 hot garlic wings with ranch.",403
"Calzone with basil and garlic and peperoni .",415
"Saturday special pepperoni pizza next mushroom pizza and hot garlic wings.",430
"Med veggie pizza add onions and mozzarella sticks .",427
"Green thumb calzone and a side salad with Greek dressing .",431
"Medium pepperoni pizza .",433
"2 large Greek salads, one large sausage, mushroom, banana pepper and one large margarita pizza with mushroom.",426
"Philly cheese steak sub with no peppers and no onions with fries.  Ham sub plain just ham and bread with chips.  Small pizza with green peppers and onions. .",839
"1 calzone with pepperoni and red pepper flakes.",864
"1 large pepperoni pizza.",624
"2 bottles water.",624
"1 large pepperoni and 1 large sausage, banana pepper, mushroom.",436
"Medium bacon pizza.",441
"10 wings hot garlic.",441
"1 large mushroom, onion, ground beef. 1 large green thumb. 1 large margherita.",446
"1 med extra cheese pizza
1 med Italian pizza (substitute banana peppers for pepperoni please).",449
"A large pizza with green peppers.",442
"Medium pepperoni pizza.",454
"10 wings hot bbq.",454
"BLT sandwich substitute fries instead of chips.",611
"Large pepperoni sausage and bacon pizza and a order of larger garlic knots with 2 extra garlic sauces .",490
"Beer? .",490
"Lg pizza w mushrooms pepperoni and green peppers .",479
"No sorry -delivery please!  1 large Italian American no peppers. .",865
"Cheese pizza.",625
"Cheese pizza.",500
"Caesar salad with chicken and a Greek salad with balsamic vinegarette dressing.",489
"A large pizza half pepperoni half onion. A ham sub plain, just ham and bread with chips. And a Philly cheese steak sub with no peppers and no onions with fries.",508
"Turkey classic .",494
"Mozzarella sticks .",494
"20 oz diet coke.",494
"10 wings, jerk dry rub. Side salad with no cucumbers, red wine vinegarette dressing. Greek salad with balsamic dressing. Small pizza with mushrooms. .",499
"Garlic rolls, large veggie delight pizza hold the peppers.",509
"1 medium pizza capriccio with xcheese .",510
"Zeppoles chocolate balls the club sandwhich and ten wings half hot garlic other half ranch.",512
"One large Flavor Country pizza, and one order of mozzarella sticks.",522
"1 large flavor country pizza and 1 medium cheese pizza.",612
"Philly cheesesteak. No onions. No peppers. Extra cheese.",514
"With french fries.",514
"1 large pepperoni pizza with extra sauce on pizza .",521
"And side of ranch.",521
"1 large peperoni sausage and pepper pizza.",526
"arette dressing. .",867
"Zeus calzone. Flyin Hawaiian pizza, small. Grilled chicken salad with no mushrooms and no cucumbers with Italian dressing. Side salad with balsamic vineg.",867
"Caesar salad no chicken and add olives .",519
"A bunch of sushi.",643
"Greek salad with balsamic vinegarette dressing. .",530
"(1/2) Large pizza half pepperoni half mushrooms and onions.  Philly cheese steak with no peppers and no onions with fries.  Ham sub plain.  Just ham and bread w.",537
"(2/2) ith chips.",537
"A medium Hawaiian pizza, pepperonni on 1/2.",866
"I would like a meaty and beefy calzone and I would also like a calzone with basil, pepperoni, mushrooms, ham, and cheese.  I would also like an order of .",539
"chocolate balls. .",539
"Med ,   Italian american no 
Sausage but instead beef.",538
"Garlic rolls, large veggie delight pizza hold the peppers.",544
"The Colbert as a small pizza with added banana peppers and a Caesar side salad.",547
"Order of hot wings with blue cheese and side salad no onions or peppers ranch on the side.",627
"Pizza.",628
"Calzone with pepperoni and cheese.  and a small capriccio pizza.",515
"pepperoni pizza large.",548
"hello.",548
"hello.",548
"large pepperoni bacon and pepper pizza (not bell pepers the other one) and a small thing of garlic knots.",715
"Philly cheese steak sub no peppers and no onions with fries.  A veggie calzone. And an order of mozzarella sticks.",750
"Large margarita pizza",30
"Large cheese pizza with onion, green pepper, and pepperoni
Grilled chicken Caesar salad no Caesar dressing but balsamic vinaigrette on the side.",629
"Pepperoni pizza Update: Breadsticks",34
"Large Colbert.",774
"Chicken nuggets appetizer with BBQ sauce. Greek salad with balsamic dressing. .",564
"Cheese burger an fries. Coke too",15
"Pepperoni pizza",46
"Large pepperoni",44
"Small cheese pizza.",749
"Large pepperoni with extra sauce. 2 liter coke. Cinna stix.",572
"Large Pepperoni and Sausage Pizza and cheesy bread.",752
"1 large cheese pizza.",751
"Large Pepperoni and Sausage Pizza and cheesy bread.",869
"Order of hot wings with blue cheese.",719
"One large St Nick's (thin crust if possible). 20 honey BBQ wings. Kids cheesy pita. .",668
"Specialty calzone 
.",615
"1 medium pepperoni pizza with a side of ranch.",630
"1 Large Flyin Hawaiian pizza. 1 Garden salad, no onions or bell peppers. Honey mustard dressing",81
"Chic nuggets. Blue chips. Fries. Small Italian American.",82
"Pizza",90
"Penus. A big bag of dicks.",66
"Small Colbert pizza (fried chicken) add banana peppers. And a Caesar side salad.",669
"(1/2) Ham sub plain just ham and bread with chip. Philly cheese steak with no peppers and no onions with fries.  Meatball calzone. 10 honey b bq wings with ranc.",870
"(2/2) h. Bacon provolone fries.",870
"Free garlic rolls.",873
"A large dinosaur bbq pizza.",873
